ANO_NACIMIENTO,INTERPARTO,ovder,ovizq,utero,DIM,RAZA_EC,RAZA_F1H,RAZA_F1J,PADRE_BR,PADRE_H00589,PADRE_H0584,PADRE_H0585,PADRE_H0589,PADRE_H0671,PADRE_H0681,PADRE_H0719,PADRE_H0778,PADRE_H1297,PADRE_H487,PADRE_H489,PADRE_H497,PADRE_H590,PADRE_H7979,PADRE_H9247,PADRE_HO0585,PADRE_HO0589,PADRE_HO0681,PADRE_HO0778,PADRE_HO6440,PADRE_HO7494,PADRE_HO7681,PADRE_HO778,PADRE_HO7816,PADRE_HO8161,PADRE_HO8516,PADRE_HO8745,PADRE_HOL,PADRE_J0778,PADRE_JE0761,PADRE_JE0778,PADRE_JE5181,PADRE_JERSEY,Efectividad
2010,0,1,0,0,437.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
2010,364,1,1,1,333.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.62162162
2010,357,1,0,1,224.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85714286
2011,0,0,0,0,82.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0
2010,655,1,0,1,291.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23076923
2010,354,1,0,0,145.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
2010,320,0,0,1,176.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
2010,430,1,0,1,244.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27272727
2011,211,1,0,1,185.33333333299998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.57142857
2010,359,0,0,1,278.666666667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
2010,624,1,1,1,387.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24137931
2011,377,1,1,1,299.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.28571429
2009,357,0,1,1,230.42857142900002,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58064516
