ID,DIM
100764HO,334.0
100767HO,378.75
100769HO,204.333333333
100770HO,338.666666667
100783HO,216.666666667
100785HO,155.0
100786HO,195.0
100788HO,291.75
100789HO,286.0
100807HO,172.0
100810HO,147.0
100816HO,292.0
100824HO,162.5
100827HO,352.0
100844HO,372.5
100845HO,292.75
100853HO,203.666666667
100856HO,200.0
100859HO,274.5
100870HO,371.0
100886HO,145.5
100887HO,247.6
100889HO,317.6
100890HO,263.0
100898HO,113.0
100901HO,96.0
100902HO,188.75
100935HO,216.6
100937HO,258.0
100939HO,35.0
100941HO,299.8
100948HO,244.666666667
100949HO,286.666666667
100953HO,259.666666667
100955HO,160.0
100958HO,118.0
101000HO,163.5
101004HO,225.666666667
101005HO,123.0
101084CP,318.0
110000HO,288.0
110003CA,202.333333333
110008JE,112.0
110009HO,208.4
110012HO,97.0
110016HO,0.0
110017HO,225.333333333
110018HO,224.166666667
110019HO,158.333333333
110020HO,346.0
110021HO,349.5
110022JE,159.0
110023HO,286.5
110025HO,43.0
110026JE,200.333333333
110027HO,444.333333333
110028HO,275.5
110029HO,187.6
110033HO,195.25
110034HO,187.0
110035HO,219.4
110036HO,225.0
110037HO,206.75
110038HO,182.333333333
110040HO,197.75
110041HO,269.6
110044HO,264.75
110045HO,291.333333333
110046HO,165.5
110047HO,304.0
110049JE,232.25
110050JE,224.5
110053HO,181.75
110054HO,264.0
110056HO,286.5
110057HO,327.0
110058HO,155.5
110059HO,308.75
110060JE,323.5
110061HO,252.0
110063HO,0.0
110064HO,186.0
110065HO,191.5
110066HO,291.5
110067HO,211.0
110069HO,265.0
110070HO,268.2
110071HO,226.0
110075HO,192.0
110076HO,217.5
110078HO,225.0
110081HO,140.0
110082HO,211.0
110084HO,301.0
110096HO,271.5
110098HO,97.5
110100HO,287.8
110102HO,384.0
110106HO,226.0
110114HO,284.5
110115HO,209.0
110115ME,262.5
110116HO,234.0
110118HO,370.666666667
110120HO,236.25
110126HO,392.0
110128HO,226.2
110135HO,302.0
110136HO,312.333333333
110139HO,268.0
110139ME,322.0
110141HO,280.0
110142HO,375.0
110154HO,249.5
110155HO,274.0
110157HO,122.0
110158HO,345.0
110160HO,222.25
110164HO,255.5
110165HO,183.0
110166HO,219.5
110168HO,162.5
110177HO,317.666666667
110178HO,218.333333333
110179HO,185.0
110183HO,184.8
110185HO,221.75
110188HO,246.2
110192HO,473.0
110198HO,185.0
110199HO,287.25
110203HO,187.25
110204ME,277.0
110205HO,227.25
110207HO,254.0
110208HO,372.0
110209HO,133.0
110212HO,255.0
110212ME,18.0
110214HO,266.5
110217HO,82.0
110220HO,253.75
110221HO,362.333333333
110229HO,301.5
110232HO,235.0
110236HO,321.666666667
110245HO,190.0
110250HO,240.5
110252HO,139.0
110253HO,466.0
110256HO,252.75
110257HO,261.0
110259HO,231.6
110260HO,185.0
110264HO,208.0
110269HO,470.0
110275HO,255.75
110280HO,202.25
110281HO,196.0
110282HO,387.666666667
110287HO,279.0
110290HO,150.0
110291HO,189.2
110298HO,149.0
110304HO,207.5
110305HO,268.0
110314HO,221.5
110316HO,221.75
110319HO,153.666666667
110329HO,216.5
110335HO,298.75
110337HO,303.333333333
110338HO,179.666666667
110339HO,202.333333333
110340HO,98.0
110341JE,209.5
110342HO,255.2
110343HO,249.2
110355HO,393.0
110358HO,175.5
110359HO,250.2
110360HO,255.6
110367HO,286.25
110370HO,316.25
110376HO,262.5
110382HO,307.75
110406HO,204.5
110410HO,274.5
110412JE,199.0
110413HO,180.25
110417HO,233.0
110424HO,222.6
110426HO,244.75
110438HO,299.333333333
110439HO,290.25
110442HO,186.5
110443HO,187.5
110450HO,250.25
110454HO,233.0
110462HO,141.0
110474HO,330.666666667
110484HO,172.5
110485HO,358.0
110487HO,251.75
110491HO,157.0
110513HO,218.0
110515HO,194.0
110519HO,218.25
110520HO,311.75
110522HO,145.0
110531HO,438.0
110532HO,305.333333333
110533HO,266.5
110534HO,118.0
110539HO,161.333333333
110543HO,299.5
110547JE,221.25
110554HO,269.0
110555HO,294.5
110562HO,244.0
110563HO,101.0
110579HO,196.0
110580HO,233.0
110587HO,272.6
110589HO,189.0
110591HO,389.0
110609HO,186.0
110613HO,122.0
110614HO,81.0
110615HO,274.0
110617HO,222.5
110636HO,276.666666667
110639HO,181.5
110644HO,189.5
110654HO,342.333333333
110657HO,160.0
110658HO,306.0
110659HO,271.75
110660HO,130.0
110662HO,321.666666667
110664HO,247.333333333
110668HO,289.25
110669HO,221.333333333
110670HO,197.0
110671HO,161.0
110674HO,234.25
110687HO,236.666666667
110688HO,221.0
110691HO,242.6
110693HO,140.5
110697HO,338.666666667
110698HO,229.6
110705HO,196.4
110707HO,161.5
110708HO,216.2
110712HO,321.333333333
110728HO,267.5
110735HO,271.0
110737HO,212.5
110742HO,261.6
110745HO,251.666666667
110747HO,147.0
110754HO,292.333333333
110769HO,300.666666667
110770HO,294.0
110775HO,150.0
110783HO,289.5
110786HO,228.75
110794HO,298.0
110797HO,226.4
110802HO,232.5
110807HO,237.0
110810HO,279.0
110811HO,222.5
110813HO,188.0
110814HO,143.0
110819HO,220.6
110820HO,265.0
110829HO,117.666666667
110832HO,260.0
110835HO,190.0
110837HO,230.0
110838HO,252.0
110840HO,76.0
110841HO,213.6
110842HO,217.0
110848HO,237.0
110853HO,257.4
110854HO,221.0
110855HO,0.0
110856HO,252.0
110859HO,258.333333333
110860HO,265.0
110866HO,262.0
110867HO,160.4
110870HO,69.0
110873HO,197.0
110874HO,264.666666667
110877HO,220.6
110879HO,203.0
110883HO,272.666666667
110887HO,224.0
110894HO,273.5
110895HO,244.0
110896HO,306.333333333
110901HO,276.0
110903HO,225.5
110904HO,164.0
110915HO,228.6
110919HO,65.0
110923HO,479.0
110924HO,185.5
110926HO,278.5
110930HO,260.8
110931HO,216.5
110936HO,302.0
110940HO,154.0
110945HO,240.0
110946HO,223.5
110949HO,195.5
110957HO,301.75
110961HO,228.0
110967HO,243.0
110968HO,188.0
110969HO,227.0
110970HO,276.333333333
110971HO,333.666666667
110972HO,208.75
110975HO,278.0
110979HO,335.0
110982HO,293.0
110986HO,290.666666667
110990HO,102.333333333
111003HO,262.75
111005HO,241.75
111016HO,321.0
111019HO,193.4
111024HO,222.0
111029HO,161.5
111031HO,270.75
111049HO,179.0
111050HO,216.25
111053HO,229.0
111054HO,227.2
111068HO,214.75
111070HO,190.0
111073HO,243.2
111084HO,237.6
111097HO,295.75
111106HO,266.4
111109HO,258.25
111124HO,185.333333333
111126HO,243.2
111131HO,291.25
111142HO,289.0
113389SD,301.75
113406SD,98.5
