,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO,ovder,ovizq,utero,Efectividad
307,090627HO,2009,F1H,H489,0,0,0,0,0.0
308,090631HO,2009,F1H,H489,0,1,0,0,0.0
309,090640HO,2009,F1H,H590,0,1,0,0,0.0
310,090641HO,2009,F1H,H487,477,1,1,1,18.75
311,090644HO,2009,F1H,H487,0,0,0,0,50.0
312,090645HO,2009,F1H,H489,359,1,1,1,20.0
313,090648HO,2009,F1H,H489,455,0,0,0,14.28571429
314,090652HO,2009,F1H,H487,477,0,0,0,20.0
315,090678HO,2009,F1H,H489,503,1,0,1,20.0
316,090680HO,2009,F1H,H590,367,1,1,1,19.44444444
317,090683HO,2009,F1H,H487,342,0,0,0,25.0
318,090684HO,2009,F1H,H590,458,0,0,0,66.66666667
319,090685HO,2009,F1H,H487,569,1,1,1,10.71428571
320,090687HO,2009,F1H,H590,406,0,0,0,16.66666667
321,090689HO,2009,F1H,H489,371,1,0,1,14.70588235
323,090716HO,2009,EC,H590,372,0,0,1,41.66666667
324,090721HO,2009,F1H,H590,582,1,1,0,12.5
325,090737HO,2009,F1H,H489,330,0,1,1,19.35483871
326,090740HO,2009,F1H,H487,325,1,1,1,25.0
327,090741HO,2009,F1H,H487,315,1,0,1,25.92592593
328,090742HO,2009,F1H,H489,0,0,0,0,16.66666667
329,090743JE,2009,F1H,H487,189,0,0,1,28.57142857
330,090744HO,2009,F1H,H489,583,1,0,1,14.81481481
331,090746HO,2009,F1H,H489,549,1,1,1,30.0
332,090759HO,2009,F1H,H590,318,1,0,1,25.80645161
333,090766HO,2009,F1H,H487,389,0,0,1,31.03448276
334,090768HO,2009,F1H,H590,500,1,1,1,19.51219512
336,090779HO,2009,F1H,H489,606,1,0,1,14.28571429
337,090780HO,2009,F1H,H489,403,0,0,0,50.0
338,090782HO,2009,F1H,H487,0,0,0,0,0.0
339,090783HO,2009,F1H,H590,345,1,0,1,25.0
340,090796HO,2009,EC,H590,357,0,0,1,28.57142857
341,090797HO,2009,F1H,H487,365,0,0,0,40.0
342,090798HO,2009,F1H,H590,493,1,0,1,37.5
343,090812HO,2009,F1H,H489,452,1,1,1,21.875
344,090814HO,2009,F1H,H487,311,1,0,1,50.0
