ID,Efectividad
100521HO,100
100526HO,33.33333333
100527HO,50
100529HO,18.91891892
100530HO,19.04761905
100532HO,33.33333333
100534HO,17.64705882
100539HO,20
100540HO,13.79310345
100542HO,20
100544HO,21.21212121
100551HO,20
100552HO,33.33333333
100557HO,0
100561HO,33.33333333
100563HO,25.92592593
100564HO,40
100576HO,28.57142857
100600HO,28.57142857
100602HO,24.32432432
100603HO,16.66666667
100618HO,50
100620HO,25
100621HO,22.85714286
100622HO,19.35483871
100625HO,30
100626HO,25
100629HO,40
100649HO,18.18181818
100661HO,18.18181818
100665HO,100
100669HO,15.78947368
100671HO,22.85714286
100674HO,41.66666667
100678HO,24.24242424
100681HO,19.44444444
100682HO,20
100685HO,33.33333333
100705HO,33.33333333
100707HO,14.28571429
100708HO,39.28571429
100721HO,33.33333333
100738HO,66.66666667
100743HO,42.85714286
100744HO,20
100745HO,16.66666667
100747HO,26.66666667
100764HO,16.12903226
100767HO,20.51282051
100769HO,24.3902439
100770HO,38.46153846
100783HO,16.66666667
100785HO,50
100786HO,30
100787HO,100
100788HO,21.21212121
100789HO,25
100807HO,50
100810HO,20
100811HO,50
100816HO,11.11111111
100824HO,50
100827HO,11.76470588
100844HO,19.51219512
100845HO,17.94871795
100853HO,33.33333333
100856HO,40
100859HO,19.35483871
100870HO,40
100886HO,44.44444444
100887HO,27.27272727
100889HO,21.42857143
100890HO,25.92592593
100898HO,60
100901HO,33.33333333
100902HO,26.31578947
100935HO,28.57142857
100937HO,15
100939HO,50
100941HO,20
100948HO,29.03225806
100949HO,27.77777778
100953HO,37.5
100955HO,36.36363636
100958HO,33.33333333
101000HO,25
101004HO,21.62162162
101005HO,83.33333333
101084CP,20.51282051
110000HO,23.33333333
110003CA,23.07692308
110008JE,40
110009HO,20
110012HO,33.33333333
110014HO,50
110015HO,50
110016HO,33.33333333
110017HO,17.64705882
110018HO,28
110019HO,25
110020HO,9.090909091
110021HO,7.407407407
110022JE,25
110023HO,18.18181818
110024HO,33.33333333
110025HO,50
110026JE,25
110027HO,10.52631579
110028HO,14.28571429
110029HO,20
110032HO,100
110033HO,11.11111111
110034HO,66.66666667
110035HO,23.07692308
110036HO,33.33333333
110037HO,27.02702703
110038HO,21.42857143
110040HO,20
110041HO,33.33333333
110044HO,14.70588235
110045HO,14.70588235
110046HO,25
110047HO,50
110049HO,100
110049JE,15.38461538
110050JE,25
110052HO,50
110053HO,21.05263158
110054HO,20.51282051
110056HO,15.38461538
110057HO,10
110057JE,0
110058HO,19.04761905
110059HO,30.55555556
110060JE,17.14285714
110061HO,25
110062HO,50
110063HO,50
110064HO,26.66666667
110065HO,23.07692308
110066HO,25
110067HO,33.33333333
110069HO,37.5
110070HO,21.21212121
110071HO,11.11111111
110075HO,30
110076HO,16.66666667
110078HO,17.64705882
110081HO,40
110082HO,25
110084HO,14.28571429
110096HO,21.42857143
110098HO,50
110100HO,28
110102HO,11.11111111
110106HO,36.36363636
110114HO,25
110115HO,16.66666667
110115ME,27.27272727
110116HO,21.42857143
110118HO,15.15151515
110120HO,18.51851852
110126HO,7.894736842
110128HO,16.66666667
110135HO,11.11111111
110136HO,16
110139HO,12.5
110139ME,18.75
110141HO,14.81481481
110142HO,11.11111111
110154HO,10.52631579
110155HO,18.18181818
110157HO,100
110158HO,7.142857143
110160HO,27.5862069
110164HO,21.73913043
110165HO,28.57142857
110166HO,22.22222222
110168HO,29.16666667
110177HO,23.52941176
110178HO,21.42857143
110179HO,38.46153846
110182HO,100
110183HO,20
110185HO,19.23076923
110188HO,18.91891892
110190HO,33.33333333
110192HO,14.28571429
110198HO,33.33333333
110199HO,22.72727273
110203HO,28
110204ME,18.18181818
110205HO,22.58064516
110207HO,14.28571429
110208HO,17.24137931
110209HO,33.33333333
110212HO,22.58064516
110212ME,50
110214HO,11.76470588
110217HO,25
110220HO,22.58064516
110221HO,16.66666667
110229HO,11.11111111
110232HO,14.28571429
110236HO,11.76470588
110245HO,28.57142857
110250HO,11.76470588
110252HO,30.76923077
110253HO,5.555555556
110256HO,18.51851852
110257HO,17.24137931
110259HO,26.92307692
110260HO,25
110264HO,50
110269HO,7.142857143
110275HO,25.92592593
110280HO,50
110281HO,16.66666667
110282HO,7.407407407
110287HO,19.35483871
110290HO,40
110291HO,23.33333333
110298HO,33.33333333
110304HO,13.33333333
110305HO,23.52941176
110307HO,50
110314HO,12.90322581
110316HO,13.51351351
110319HO,26.66666667
110329HO,14.70588235
110335HO,15.38461538
110337HO,18.91891892
110338HO,36.36363636
110339HO,31.25
110340HO,33.33333333
110341JE,16.66666667
