ID,P,V,A,Efectividad
090519HO,1,2,0,33.3333333333
090523HO,2,5,0,28.5714285714
090536HO,0,2,0,0.0
090537HO,7,8,0,46.6666666667
090547HO,1,5,0,16.6666666667
090551HO,2,29,0,6.45161290323
090566HO,1,8,0,11.1111111111
090569HO,1,3,0,25.0
090581HO,3,17,0,15.0
090584HO,2,1,0,66.6666666667
090586HO,6,28,0,17.6470588235
090612HO,6,23,0,20.6896551724
090614HO,6,19,2,22.2222222222
090621HO,7,20,1,25.0
090627HO,0,2,0,0.0
090631HO,0,9,0,0.0
090640HO,0,3,0,0.0
090641HO,3,13,0,18.75
090644HO,1,1,0,50.0
090645HO,7,28,0,20.0
090648HO,1,6,0,14.2857142857
090652HO,1,4,0,20.0
090678HO,6,22,2,20.0
090680HO,7,29,0,19.4444444444
090683HO,1,3,0,25.0
090684HO,2,1,0,66.6666666667
090685HO,3,25,0,10.7142857143
090687HO,1,5,0,16.6666666667
090689HO,5,29,0,14.7058823529
090716HO,5,6,1,41.6666666667
090721HO,2,14,0,12.5
090737HO,6,25,0,19.3548387097
090740HO,4,12,0,25.0
090741HO,7,20,0,25.9259259259
090742HO,1,5,0,16.6666666667
090743HO,2,1,0,66.6666666667
090743JE,4,10,0,28.5714285714
090744HO,4,23,0,14.8148148148
090746HO,6,12,2,30.0
090759HO,8,23,0,25.8064516129
090766HO,9,20,0,31.0344827586
090768HO,8,33,0,19.512195122
090779HO,3,18,0,14.2857142857
090780HO,2,2,0,50.0
090782HO,0,3,0,0.0
090783HO,8,24,0,25.0
090796HO,8,20,0,28.5714285714
090797HO,2,3,0,40.0
090798HO,3,5,0,37.5
090812HO,7,25,0,21.875
090814HO,5,5,0,50.0
090816CP,2,30,0,6.25
090825HO,6,33,0,15.3846153846
090884HO,6,33,1,15.0
090895HO,3,24,0,11.1111111111
09092CA,3,0,0,100.0
09096CA,1,1,0,50.0
09097CA,1,4,0,20.0
099006CP,1,0,0,100.0
099008CP,1,3,0,25.0
099057CP,7,25,0,21.875
099163CP,0,2,0,0.0
099235CP,7,22,1,23.3333333333
099687CP,3,18,0,14.2857142857
099816CP,0,3,0,0.0
100000HO,0,2,0,0.0
100001CP,2,5,0,28.5714285714
100001HO,8,28,0,22.2222222222
100002HO,4,6,0,40.0
100003HO,10,29,0,25.641025641
100004HO,2,0,0,100.0
100005HO,3,2,0,60.0
100006HO,4,5,0,44.4444444444
100007HO,1,0,0,100.0
100008HO,3,6,0,33.3333333333
100009HO,6,31,0,16.2162162162
100010HO,2,4,0,33.3333333333
100011HO,3,17,0,15.0
100012HO,1,6,0,14.2857142857
100013CP,3,15,0,16.6666666667
100013HO,3,1,0,75.0
100014HO,7,24,0,22.5806451613
100015HO,3,20,0,13.0434782609
100016HO,3,5,0,37.5
100017HO,3,11,0,21.4285714286
100018HO,8,29,0,21.6216216216
100019HO,2,15,0,11.7647058824
100021HO,3,7,0,30.0
100022HO,4,4,0,50.0
100023HO,1,0,0,100.0
100024HO,10,26,1,27.027027027
100025HO,2,1,0,66.6666666667
100026HO,3,1,0,75.0
100027HO,2,7,0,22.2222222222
100028HO,3,12,0,20.0
100029HO,7,23,1,22.5806451613
100030HO,8,30,0,21.0526315789
100031HO,10,24,0,29.4117647059
100032HO,4,10,0,28.5714285714
100033HO,6,8,0,42.8571428571
100034HO,9,25,1,25.7142857143
100035HO,3,5,0,37.5
100036HO,5,18,1,20.8333333333
100037HO,5,36,0,12.1951219512
100038HO,7,19,1,25.9259259259
100040HO,9,16,0,36.0
100042HO,2,5,0,28.5714285714
100043HO,10,6,1,58.8235294118
100044HO,3,8,0,27.2727272727
100046JE,1,6,0,14.2857142857
100047HO,4,10,1,26.6666666667
100048CP,0,5,0,0.0
100048HO,4,34,0,10.5263157895
100049HO,0,4,0,0.0
100051CP,3,16,0,15.7894736842
100051HO,3,3,0,50.0
100052HO,2,2,0,50.0
100053JE,4,4,0,50.0
100054HO,4,9,0,30.7692307692
100055CP,3,3,0,50.0
100055HO,2,8,0,20.0
100056HO,3,2,0,60.0
100060HO,8,28,1,21.6216216216
100062HO,1,2,0,33.3333333333
100063HO,7,27,0,20.5882352941
100064HO,2,0,0,100.0
100065HO,1,3,0,25.0
100066HO,7,22,0,24.1379310345
100067HO,4,31,0,11.4285714286
100068HO,2,1,1,50.0
100069HO,2,1,0,66.6666666667
100070HO,2,0,0,100.0
100071HO,5,30,0,14.2857142857
100072HO,3,5,0,37.5
100073HO,3,7,0,30.0
100074HO,4,15,0,21.0526315789
100075HO,5,31,0,13.8888888889
100076HO,10,29,1,25.0
100077HO,2,6,0,25.0
100078HO,3,23,0,11.5384615385
100079HO,1,1,0,50.0
100080HO,6,24,0,20.0
100081HO,1,4,0,20.0
100082HO,8,27,0,22.8571428571
100083HO,5,12,0,29.4117647059
100085HO,11,25,0,30.5555555556
100086HO,3,19,0,13.6363636364
100087HO,3,3,0,50.0
100088HO,2,1,0,66.6666666667
100089HO,8,20,1,27.5862068966
100090HO,1,0,0,100.0
100091HO,8,24,0,25.0
100092HO,8,33,0,19.512195122
100093HO,2,5,0,28.5714285714
100094HO,5,29,0,14.7058823529
100096HO,8,26,0,23.5294117647
100097HO,5,24,0,17.2413793103
100098HO,8,29,0,21.6216216216
100099HO,4,17,0,19.0476190476
100100HO,3,7,0,30.0
100101HO,2,3,0,40.0
100102HO,2,7,0,22.2222222222
100103HO,3,11,1,20.0
100104HO,4,11,0,26.6666666667
100104ME,3,9,0,25.0
100105HO,2,0,0,100.0
100106HO,9,25,0,26.4705882353
100107HO,2,17,0,10.5263157895
100108HO,3,6,0,33.3333333333
100109HO,5,9,0,35.7142857143
100110HO,4,13,0,23.5294117647
100111HO,2,0,0,100.0
100113HO,3,2,0,60.0
100114JE,2,0,0,100.0
100115HO,1,0,0,100.0
100116JE,5,22,0,18.5185185185
100117HO,2,5,0,28.5714285714
100119CP,4,20,0,16.6666666667
100119JE,4,16,0,20.0
100120HO,2,2,0,50.0
100121HO,7,14,0,33.3333333333
100122HO,1,6,0,14.2857142857
100123HO,1,2,0,33.3333333333
100125HO,1,5,0,16.6666666667
100126HO,2,1,0,66.6666666667
100127JE,5,16,0,23.8095238095
100129HO,7,28,0,20.0
100130HO,4,2,1,57.1428571429
100131HO,2,5,1,25.0
100132HO,4,39,0,9.3023255814
100134HO,3,6,0,33.3333333333
100135CP,2,6,1,22.2222222222
100135HO,2,5,0,28.5714285714
100136HO,6,32,0,15.7894736842
100137HO,3,7,0,30.0
100138HO,2,7,1,20.0
100139HO,3,6,1,30.0
100140HO,3,4,0,42.8571428571
100142HO,2,5,0,28.5714285714
100143HO,1,7,0,12.5
100143ME,2,14,0,12.5
100147HO,1,4,0,20.0
100148HO,2,12,0,14.2857142857
100150HO,2,14,0,12.5
100151HO,3,0,0,100.0
100152HO,1,1,0,50.0
100154HO,3,21,0,12.5
100156HO,3,3,0,50.0
100157HO,7,23,0,23.3333333333
100158HO,2,8,0,20.0
100160HO,5,9,0,35.7142857143
100164HO,2,0,0,100.0
100167HO,4,15,0,21.0526315789
100170HO,3,3,0,50.0
100175HO,1,1,0,50.0
100178HO,7,26,0,21.2121212121
100179HO,1,4,0,20.0
100184HO,2,1,0,66.6666666667
100185HO,2,0,0,100.0
100186HO,1,0,0,100.0
100191HO,1,3,0,25.0
100193HO,3,0,0,100.0
100195HO,4,20,0,16.6666666667
100196HO,8,21,0,27.5862068966
100197HO,6,26,0,18.75
100199HO,3,2,0,60.0
100200HO,6,26,0,18.75
100201HO,5,6,1,41.6666666667
100202HO,7,23,1,22.5806451613
100203HO,4,10,1,26.6666666667
100204HO,1,3,0,25.0
100206HO,2,11,0,15.3846153846
100207HO,2,2,0,50.0
100207ME,1,1,0,50.0
100208HO,5,24,0,17.2413793103
100209HO,8,26,1,22.8571428571
100213HO,2,0,0,100.0
100215CP,4,32,0,11.1111111111
100215HO,1,1,0,50.0
100218HO,5,15,0,25.0
100225HO,6,17,1,25.0
100226HO,3,5,1,33.3333333333
100232HO,7,23,0,23.3333333333
100234HO,4,6,0,40.0
100235HO,4,6,0,40.0
100237HO,3,6,1,30.0
100238HO,2,4,0,33.3333333333
100242CP,6,24,0,20.0
100245CP,5,23,0,17.8571428571
100246CP,5,26,1,15.625
100247CP,3,13,0,18.75
100249CP,2,21,1,8.33333333333
100254HO,2,1,0,66.6666666667
100255HO,6,16,0,27.2727272727
100256HO,9,25,0,26.4705882353
100258HO,4,26,0,13.3333333333
100264CP,6,24,1,19.3548387097
100268HO,4,1,0,80.0
100278CP,4,26,0,13.3333333333
100280HO,1,1,0,50.0
100291HO,1,3,0,25.0
100297HO,6,13,0,31.5789473684
100299HO,1,1,0,50.0
100301HO,4,11,0,26.6666666667
100309CP,5,12,0,29.4117647059
100317HO,1,3,0,25.0
100320HO,9,22,1,28.125
100321HO,1,3,0,25.0
100322HO,1,6,0,14.2857142857
100328HO,8,7,0,53.3333333333
100332HO,1,1,0,50.0
100337CP,6,22,0,21.4285714286
100338HO,7,27,0,20.5882352941
100339CP,2,4,0,33.3333333333
100340HO,3,27,0,10.0
100344HO,0,3,0,0.0
100347HO,9,24,2,25.7142857143
100351CP,5,20,1,19.2307692308
100351HO,1,7,0,12.5
100352CP,7,25,1,21.2121212121
100352HO,5,21,0,19.2307692308
100369HO,1,1,0,50.0
100370HO,5,15,1,23.8095238095
100373HO,3,15,0,16.6666666667
100377HO,7,25,0,21.875
100387HO,8,28,1,21.6216216216
100388HO,6,9,0,40.0
100389HO,6,15,0,28.5714285714
100393HO,0,1,0,0.0
100394HO,3,3,0,50.0
100402HO,1,2,0,33.3333333333
100406HO,3,3,0,50.0
100412HO,7,30,0,18.9189189189
100413HO,3,14,0,17.6470588235
100417HO,7,21,0,25.0
100419HO,2,3,0,40.0
100423HO,6,24,0,20.0
100424HO,1,7,0,12.5
100425HO,5,21,1,18.5185185185
100426HO,0,3,0,0.0
100429HO,1,2,0,33.3333333333
100430HO,4,11,0,26.6666666667
100431HO,2,1,0,66.6666666667
100433HO,1,1,0,50.0
100434HO,2,1,0,66.6666666667
100435HO,9,28,0,24.3243243243
100436HO,1,5,0,16.6666666667
100437HO,3,12,1,18.75
100438HO,4,2,0,66.6666666667
100439HO,2,0,0,100.0
100440HO,8,19,0,29.6296296296
100441HO,3,17,0,15.0
100442HO,2,0,0,100.0
100443HO,2,0,0,100.0
100448HO,5,15,0,25.0
100449HO,0,3,0,0.0
100450HO,4,17,1,18.1818181818
100451HO,9,16,0,36.0
100452HO,4,14,0,22.2222222222
100458HO,5,18,0,21.7391304348
100459HO,1,3,0,25.0
100460HO,5,12,1,27.7777777778
100461HO,8,23,1,25.0
100463HO,1,6,0,14.2857142857
100464HO,1,8,0,11.1111111111
100476HO,7,26,0,21.2121212121
100480HO,1,5,0,16.6666666667
100481H,1,0,0,100.0
100481HO,2,20,0,9.09090909091
100485HO,3,4,0,42.8571428571
100487HO,1,2,0,33.3333333333
100489HO,1,2,0,33.3333333333
100496HO,1,0,0,100.0
100497HO,7,28,0,20.0
100498HO,5,22,0,18.5185185185
100504HO,4,7,0,36.3636363636
100505HO,5,36,0,12.1951219512
100509HO,2,9,0,18.1818181818
100510HO,4,3,0,57.1428571429
10051CP,2,3,0,40.0
100520HO,1,5,0,16.6666666667
100521HO,1,0,0,100.0
100526HO,1,2,0,33.3333333333
100527HO,2,1,1,50.0
100529HO,7,29,1,18.9189189189
100530HO,4,17,0,19.0476190476
100532HO,2,4,0,33.3333333333
100534HO,3,14,0,17.6470588235
100539HO,4,16,0,20.0
100540HO,4,24,1,13.7931034483
100542HO,1,4,0,20.0
100544HO,7,26,0,21.2121212121
100551HO,4,16,0,20.0
100552HO,1,2,0,33.3333333333
100557HO,0,4,0,0.0
100561HO,1,2,0,33.3333333333
100563HO,7,19,1,25.9259259259
100564HO,2,3,0,40.0
100576HO,2,5,0,28.5714285714
100600HO,2,4,1,28.5714285714
100602HO,9,28,0,24.3243243243
100603HO,1,5,0,16.6666666667
100618HO,2,2,0,50.0
100620HO,1,3,0,25.0
100621HO,8,27,0,22.8571428571
100622HO,6,25,0,19.3548387097
100625HO,3,7,0,30.0
100626HO,6,18,0,25.0
100629HO,2,3,0,40.0
100649HO,2,9,0,18.1818181818
100661HO,8,36,0,18.1818181818
100665HO,2,0,0,100.0
100669HO,3,16,0,15.7894736842
100671HO,8,27,0,22.8571428571
100674HO,5,7,0,41.6666666667
100678HO,8,25,0,24.2424242424
100681HO,7,29,0,19.4444444444
100682HO,2,8,0,20.0
100685HO,10,20,0,33.3333333333
100705HO,1,2,0,33.3333333333
100707HO,1,6,0,14.2857142857
100708HO,11,17,0,39.2857142857
100721HO,2,4,0,33.3333333333
100738HO,2,1,0,66.6666666667
100743HO,3,4,0,42.8571428571
100744HO,5,20,0,20.0
100745HO,2,10,0,16.6666666667
100747HO,8,22,0,26.6666666667
100764HO,5,24,2,16.1290322581
100767HO,8,29,2,20.5128205128
100769HO,10,31,0,24.3902439024
100770HO,5,6,2,38.4615384615
100783HO,3,15,0,16.6666666667
100785HO,2,2,0,50.0
100786HO,3,7,0,30.0
100787HO,1,0,0,100.0
100788HO,7,26,0,21.2121212121
100789HO,2,5,1,25.0
100807HO,1,1,0,50.0
100810HO,1,4,0,20.0
100811HO,1,1,0,50.0
100816HO,1,8,0,11.1111111111
100824HO,3,3,0,50.0
100827HO,2,15,0,11.7647058824
100844HO,8,33,0,19.512195122
100845HO,7,31,1,17.9487179487
100853HO,6,11,1,33.3333333333
100856HO,2,3,0,40.0
100859HO,6,25,0,19.3548387097
100870HO,2,3,0,40.0
100886HO,4,4,1,44.4444444444
100887HO,6,16,0,27.2727272727
100889HO,6,22,0,21.4285714286
100890HO,7,20,0,25.9259259259
100898HO,3,1,1,60.0
100901HO,1,2,0,33.3333333333
100902HO,5,14,0,26.3157894737
100935HO,8,20,0,28.5714285714
100937HO,3,17,0,15.0
100939HO,1,1,0,50.0
100941HO,6,24,0,20.0
100948HO,9,21,1,29.0322580645
100949HO,5,12,1,27.7777777778
100953HO,3,5,0,37.5
100955HO,4,7,0,36.3636363636
100958HO,1,2,0,33.3333333333
101000HO,2,6,0,25.0
101004HO,8,29,0,21.6216216216
101005HO,5,1,0,83.3333333333
101084CP,8,31,0,20.5128205128
110000HO,7,23,0,23.3333333333
110003CA,3,10,0,23.0769230769
110008JE,2,3,0,40.0
110009HO,6,24,0,20.0
110012HO,2,4,0,33.3333333333
110014HO,1,1,0,50.0
110015HO,2,2,0,50.0
110016HO,1,1,1,33.3333333333
110017HO,3,14,0,17.6470588235
110018HO,7,18,0,28.0
110019HO,4,12,0,25.0
110020HO,1,10,0,9.09090909091
110021HO,2,25,0,7.40740740741
110022JE,1,3,0,25.0
110023HO,2,9,0,18.1818181818
110024HO,1,2,0,33.3333333333
110025HO,1,1,0,50.0
110026JE,4,11,1,25.0
110027HO,4,34,0,10.5263157895
110028HO,4,24,0,14.2857142857
110029HO,6,24,0,20.0
110032HO,1,0,0,100.0
110033HO,4,32,0,11.1111111111
110034HO,2,1,0,66.6666666667
110035HO,6,20,0,23.0769230769
110036HO,3,6,0,33.3333333333
110037HO,10,26,1,27.027027027
110038HO,3,11,0,21.4285714286
110040HO,4,16,0,20.0
110041HO,9,18,0,33.3333333333
110044HO,5,29,0,14.7058823529
110045HO,5,29,0,14.7058823529
110046HO,2,6,0,25.0
110047HO,3,2,1,50.0
110049HO,1,0,0,100.0
110049JE,4,21,1,15.3846153846
110050JE,5,14,1,25.0
110052HO,2,2,0,50.0
110053HO,4,15,0,21.0526315789
110054HO,8,31,0,20.5128205128
110056HO,2,11,0,15.3846153846
110057HO,1,9,0,10.0
110057JE,0,3,0,0.0
110058HO,4,16,1,19.0476190476
110059HO,11,23,2,30.5555555556
110060JE,6,29,0,17.1428571429
110061HO,2,6,0,25.0
110062HO,1,1,0,50.0
110063HO,1,0,1,50.0
110064HO,4,11,0,26.6666666667
110065HO,6,20,0,23.0769230769
110066HO,7,20,1,25.0
110067HO,2,4,0,33.3333333333
110069HO,3,4,1,37.5
110070HO,7,26,0,21.2121212121
110071HO,1,8,0,11.1111111111
110075HO,3,7,0,30.0
110076HO,2,10,0,16.6666666667
110078HO,3,14,0,17.6470588235
110081HO,4,6,0,40.0
110082HO,2,6,0,25.0
110084HO,1,6,0,14.2857142857
110096HO,6,22,0,21.4285714286
110098HO,2,2,0,50.0
110100HO,7,18,0,28.0
110102HO,2,16,0,11.1111111111
110106HO,8,14,0,36.3636363636
110114HO,8,23,1,25.0
110115HO,1,5,0,16.6666666667
110115ME,3,8,0,27.2727272727
110116HO,6,22,0,21.4285714286
110118HO,5,28,0,15.1515151515
110120HO,5,22,0,18.5185185185
110126HO,3,35,0,7.89473684211
110128HO,6,30,0,16.6666666667
110135HO,2,16,0,11.1111111111
110136HO,4,21,0,16.0
110139HO,1,7,0,12.5
110139ME,3,13,0,18.75
110141HO,4,23,0,14.8148148148
110142HO,2,16,0,11.1111111111
110154HO,2,17,0,10.5263157895
110155HO,6,26,1,18.1818181818
110157HO,3,0,0,100.0
110158HO,1,13,0,7.14285714286
110160HO,8,21,0,27.5862068966
110164HO,5,18,0,21.7391304348
110165HO,6,15,0,28.5714285714
110166HO,2,7,0,22.2222222222
110168HO,7,15,2,29.1666666667
110177HO,4,13,0,23.5294117647
110178HO,3,11,0,21.4285714286
110179HO,5,8,0,38.4615384615
110182HO,1,0,0,100.0
110183HO,6,24,0,20.0
110185HO,5,21,0,19.2307692308
110188HO,7,30,0,18.9189189189
110190HO,1,2,0,33.3333333333
110192HO,2,11,1,14.2857142857
110198HO,4,8,0,33.3333333333
110199HO,5,17,0,22.7272727273
110203HO,7,17,1,28.0
110204ME,2,9,0,18.1818181818
110205HO,7,24,0,22.5806451613
110207HO,2,12,0,14.2857142857
110208HO,5,24,0,17.2413793103
110209HO,2,4,0,33.3333333333
