,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO
411,100053JE,2010,F1J,JE0778,336
412,100054HO,2010,F1H,H0585,472
413,100055CP,2010,F1H,BR,397
414,100055HO,2010,F1H,H0584,500
415,100056HO,2010,F1H,H0584,381
416,100060HO,2010,F1H,H0585,364
417,100062HO,2010,F1H,H0584,0
418,100063HO,2010,F1H,H0584,432
419,100064HO,2010,F1H,H0585,0
420,100065HO,2010,F1H,H0584,0
421,100066HO,2010,F1H,H0585,496
422,100067HO,2010,F1H,H0584,522
423,100068HO,2010,F1H,H0585,369
424,100069HO,2010,F1H,H0584,318
425,100070HO,2010,F1H,H0584,0
426,100071HO,2010,F1H,H0585,651
427,100072HO,2010,F1H,H0585,381
428,100073HO,2010,F1H,H0585,369
429,100074HO,2010,F1H,H0585,328
430,100075HO,2010,F1H,H0584,578
431,100076HO,2010,F1H,H0585,376
432,100077HO,2010,F1H,H0584,388
433,100078HO,2010,F1H,H0585,690
434,100079HO,2010,F1H,H0585,0
435,100080HO,2010,F1H,H0585,506
436,100081HO,2010,F1H,H0584,0
437,100082HO,2010,F1H,H0585,413
438,100083HO,2010,F1H,H0585,536
439,100085HO,2010,F1H,H0584,324
440,100086HO,2010,F1H,H0585,608
441,100087HO,2010,F1H,H0585,368
442,100088HO,2010,F1H,H0585,0
443,100089HO,2010,F1H,H0585,348
444,100090HO,2010,F1H,H0584,0
445,100091HO,2010,F1H,H0585,321
446,100092HO,2010,F1H,H0584,360
447,100093HO,2010,F1H,H0585,451
448,100094HO,2010,F1H,H0585,494
449,100096HO,2010,F1H,H0584,307
450,100097HO,2010,F1H,H0585,624
451,100098HO,2010,F1H,H0584,347
452,100099HO,2010,F1H,H0584,335
453,100100HO,2010,F1H,H0585,375
454,100101HO,2010,F1H,H0584,0
455,100102HO,2010,F1H,H0585,379
456,100103HO,2010,F1H,H0584,236
457,100104HO,2010,F1H,H0585,384
458,100104ME,2010,F1H,HOL,311
459,100105HO,2010,F1H,H0585,0
460,100106HO,2010,F1H,H0585,345
461,100107HO,2010,F1H,H0585,614
462,100108HO,2010,F1H,H0585,341
463,100109HO,2010,F1H,H0585,496
464,100110HO,2010,F1H,H0585,433
465,100111HO,2010,F1H,H0585,0
466,100113HO,2010,F1H,H0584,348
467,100114JE,2010,F1J,JE0761,351
468,100115HO,2010,F1H,H0584,0
469,100116JE,2010,F1J,J0778,372
470,100117HO,2010,F1H,H0584,344
471,100119CP,2010,F1H,BR,315
472,100119JE,2010,F1J,JE0778,522
473,100120HO,2010,F1H,H0584,428
474,100121HO,2010,F1H,H0584,370
