Estructura de red; MSE; Iteraciones; SQRT MSE
[10, 6, 8]; 237.7242598667382; 1; 15.418309241506936
[10, 6, 10]; 228.41192084003285; 1; 15.113302777355877
[10, 8, 6]; 243.54782853387107; 1; 15.606018984157076
[10, 8, 8]; 223.4252494401943; 1; 14.947416145949584
[10, 8, 10]; 219.31295278389706; 1; 14.809218506859066
[10, 10, 6]; 228.64367311936084; 1; 15.120967995447938
[10, 10, 8]; 227.4541399637701; 1; 15.081582806979183
[10, 10, 10]; 235.71920595692683; 1; 15.3531497080217
[6, 6, 6, 6]; 250.01860481032028; 1; 15.811976625656904
[6, 6, 6, 8]; 206.23146702673003; 1; 14.360761366540773
[6, 6, 6, 10]; 240.05206985289536; 1; 15.493613840963487
[6, 6, 8, 6]; 234.8616780485221; 1; 15.32519748807571
[6, 6, 8, 8]; 238.40212001515087; 1; 15.44027590476125
[6, 6, 8, 10]; 243.61618082710373; 1; 15.608208764208138
[6, 6, 10, 6]; 251.57668445294925; 1; 15.861169075857847
[6, 6, 10, 8]; 225.78754987061401; 1; 15.026228730809803
[6, 6, 10, 10]; 255.98562299051457; 1; 15.999550712145469
[6, 8, 6, 6]; 238.94618847661062; 1; 15.457884346721276
[6, 8, 6, 8]; 219.99953325795553; 1; 14.832381240311872
[6, 8, 6, 10]; 253.97471268241438; 1; 15.936584097052116
[6, 8, 8, 6]; 267.49680489711466; 1; 16.355329556359134
[6, 8, 8, 8]; 239.07969491236142; 1; 15.46220213657684
[6, 8, 8, 10]; 243.3161837629943; 1; 15.598595570210618
[6, 8, 10, 6]; 214.96378267484636; 1; 14.661643246063736
[6, 8, 10, 8]; 247.06815204706587; 1; 15.718401701415633
[6, 8, 10, 10]; 225.66536925463782; 1; 15.022162602456339
[6, 10, 6, 6]; 235.43442269235032; 1; 15.343872480320941
[6, 10, 6, 8]; 229.27849941058452; 1; 15.141945033930895
[6, 10, 6, 10]; 241.63986682180604; 1; 15.544769757761163
[6, 10, 8, 6]; 229.20420037734203; 1; 15.139491417393849
[6, 10, 8, 8]; 233.3155639437458; 1; 15.274670665639432
[6, 10, 8, 10]; 234.46028709034653; 1; 15.312096103745775
[6, 10, 10, 6]; 238.19437821792886; 1; 15.433547169005863
[6, 10, 10, 8]; 234.62463185604923; 1; 15.317461664912017
[6, 10, 10, 10]; 227.64322055922176; 1; 15.08785009732075
[8, 6, 6, 6]; 218.8290944855302; 1; 14.792873097729535
[8, 6, 6, 8]; 232.4172485475153; 1; 15.245236913459735
[8, 6, 6, 10]; 256.0544821636533; 1; 16.00170247703829
[8, 6, 8, 6]; 230.90553602277112; 1; 15.19557619910384
[8, 6, 8, 8]; 233.7008729128619; 1; 15.287278139448564
[8, 6, 8, 10]; 227.9159261238109; 1; 15.096884649615989
[8, 6, 10, 6]; 239.72187583350137; 1; 15.482954363864197
[8, 6, 10, 8]; 248.99439669268028; 1; 15.779556289474057
[8, 6, 10, 10]; 242.27313694033418; 1; 15.565125664135648
[8, 8, 6, 6]; 210.7048246462924; 1; 14.515675135738345
[8, 8, 6, 8]; 230.6448039800216; 1; 15.186994567063676
[8, 8, 6, 10]; 227.5357188298519; 1; 15.084287150205405
[8, 8, 8, 6]; 257.34699550528865; 1; 16.04203838373692
